price,ad_title,href,location,square_meter,owner,real_estate_firm,id,img_href
"1 250 000,-","VARATUN - NY PRIS! VISNING MANDAG 29.10 Kl: 18.00
Varatun - Flott 2-roms brl leilighet innenfor bomringen!",https://www.finn.no/realestate/homes/ad.html?finnkode=128105271,"Ståle Kyllingstads vei 2 D, Sandnes",55 m²,Andel,DNB Eiendom AS,128105271,https://images.finncdn.no/dynamic/480w/2018/10/vertical-2/28/1/128/105/271_1853743510.jpg
"3 490 000,-","Biterud, nær Asker sentrum. - Pent oppusset 3-roms leilighet med 16 kvm terrasse og flotte fellesarealer - Kort gangavstand til Asker sentrum.",https://www.finn.no/realestate/homes/ad.html?finnkode=132736263,"Biterudveien 1B, Asker",65 m²,Eier (Selveier),PrivatMegleren Solli & Partnere,132736263,https://images.finncdn.no/dynamic/480w/2018/10/vertical-2/28/3/132/736/263_1567457908.jpg
"3 490 000,-","Moderne leilighet i 3-mannsbolig.Kr.3.490.000,-",https://www.finn.no/realestate/newbuildings/ad.html?finnkode=132090649,"Prost Fergstadsgt 36, Stjørdal",68 m²,Eier (Selveier),Din Boligbygger AS,132090649,https://images.finncdn.no/dynamic/480w/2018/10/vertical-/20/9/132/090/649_1390557244.jpg
"4 100 000,-","En klassisk drøm - Lys og sjelfull 3-roms med balkong og peis. Flotte originale tregulv, teglstein, rosett og stukkatur.",https://www.finn.no/realestate/homes/ad.html?finnkode=132734024,"Rosteds gate 13 A, Oslo, Grünerløkka - Sofienberg",57 m²,Andel,Aktiv Grønland/Bjørvika,132734024,https://images.finncdn.no/dynamic/480w/2018/10/vertical-2/28/4/132/734/024_2027926759.jpg
"11 490 000 - 11 990 000,-","Makrellbekken/Holmen - 3 nye, særdeles innholdsrike boliger - Solrik hage/balkong - God standard - 4sov - 2bad - Garasje",https://www.finn.no/realestate/newbuildings/ad.html?finnkode=132732053,"Øvre Smestadvei 42, Oslo, Røa",156 - 157 m²,Eier (Selveier),PrivatMegleren Nyeboliger Oslo,132732053,https://images.finncdn.no/dynamic/480w/2018/10/vertical-2/28/3/132/732/053_140378467.jpg
"8 250 000,-","BOLTELØKKA - Delikat 3/4-roms hjørneleilighet m/vestvendt balkong, peis, klassiske kvaliteter og moderne standard (2014).",https://www.finn.no/realestate/homes/ad.html?finnkode=132732446,"Sofies gate 84, Oslo, St.Hanshaugen - Ullevål",98 m²,Eier (Selveier),Sem & Johnsen Eiendomsmegling,132732446,https://images.finncdn.no/dynamic/480w/2018/10/vertical-2/28/6/132/732/446_1197778691.jpg
"3 950 000,-",Ebbesvikfjellet - Meget flott og påkostet endeleilighet med høy standard og lekre detaljer. Fast parkering og flere uteplasser.,https://www.finn.no/realestate/homes/ad.html?finnkode=126143475,"Ebbesvikfjellet 9A, Brattholmen",135 m²,Eier (Selveier),DNB Eiendom AS,126143475,https://images.finncdn.no/dynamic/480w/2018/8/vertical-2/09/5/126/143/475_1887001703.jpg
"2 400 000,-","SAGENE/BJØLSEN - Innholdsrik 1-roms mot rolig gate - Helt ny balkong (2018) - Fyring, varmtvann og internett inkl i felleskostn",https://www.finn.no/realestate/homes/ad.html?finnkode=132729095,"Bentsebrugata 29 A, Oslo, Sagene - Torshov",20 m²,Andel,Aktiv Grünerløkka Torshov,132729095,https://images.finncdn.no/dynamic/480w/2018/10/vertical-2/28/5/132/729/095_1705965234.jpg
"3 990 000,-",Korsvoll - Fantastisk utsiktsleilighet med stort potensiale på Frysja! Skjermet beliggenhet nær marka og BI - Ingen forkjøpsrett!,https://www.finn.no/realestate/homes/ad.html?finnkode=132728043,"Brekkelia 5E, Oslo, Sogn",79 m²,Andel,PrivatMegleren Aksept,132728043,https://images.finncdn.no/dynamic/480w/2018/10/vertical-2/28/3/132/728/043_2114523167.jpg
"1 050 000,-",Momrak - Eigendom med panoramautsikt og solrik,https://www.finn.no/realestate/homes/ad.html?finnkode=132723007,"Fyresdalsvegen 2845, Fyresdal",114 m²,Eier (Selveier),Privat,132723007,https://images.finncdn.no/dynamic/480w/2018/10/vertical-2/28/7/132/723/007_972368992.jpg
"5 600 000,-",#SOFIES HAGE/GRÜNERLØKKA - LYS OG MODERNE TOPPLEILIGHET #3-roms #Solrik vestvendt balkong #Garasjeplass (el-lading) #Heis #Fjernvarme/V.vann inkl.,https://www.finn.no/realestate/homes/ad.html?finnkode=132727734,"Karlstadgata 29, Oslo, Grünerløkka - Sofienberg",71 m²,Eier (Selveier),Schala & Partners Torshov,132727734,https://images.finncdn.no/dynamic/480w/2018/10/vertical-2/28/4/132/727/734_943317458.jpg
"6 500 000,-",Smestad/Hoff - SMESTAD - Lys og lekker 4-roms leilighet. Solrik balkong. Høy standard. Garasjeplass. Ingen dokumentavgift,https://www.finn.no/realestate/homes/ad.html?finnkode=129641705,"Hoffsveien 64C, Oslo, Ullern",105 m²,Andel,Nordvik Majorstuen,129641705,https://images.finncdn.no/dynamic/480w/2018/10/vertical-2/28/5/129/641/705_2011774711.jpg
"3 500 000,-",#SAGENE - MODERNE OG STILRENT #Strøken 2-roms selveier #Sydvendt balkong #Lekkert bad 2017 #Moderne KVIK kjøkken 2015 #P-plass,https://www.finn.no/realestate/homes/ad.html?finnkode=125286524,"Arendalsgata 6, Oslo, Sagene - Torshov",51 m²,Eier (Selveier),Schala & Partners Sagene,125286524,https://images.finncdn.no/dynamic/480w/2018/10/vertical-2/28/4/125/286/524_1782567443.jpg
